TeileID;Teilelaenge;Teilebreite;Teiledicke;Kante1;Kante1 Status;Kante1 Programm;Kante2;Kante2 Status;Kante2 Programm;Kante3;Kante3 Status;Kante3 Programm;Kante4;Kante4 Status;Kante4 Programm;Abstapelplatz;ObjectID;VlowID
0000001512202017;600;765;19;4;0;3;2;0;3;3;0;7;1;0;7;4;99;000395-2021-01-18(104209-10639679)-99-17
0000001512202033;600;765;19;4;0;3;2;0;3;3;0;7;1;0;7;4;99;000395-2021-01-18(104209-10639679)-99-33
0000001512202034;600;765;19;4;0;3;2;0;3;3;0;7;1;0;7;4;99;000395-2021-01-18(104209-10639679)-99-34
0000001512202069;600;765;19;4;0;3;2;0;3;3;0;7;1;0;7;4;105;000395-2021-01-18(104209-10639679)-105-69
0000001512202071;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;4;105;000395-2021-01-18(104209-10639679)-105-71
0000001512202018;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;4;99;000395-2021-01-18(104209-10639679)-99-18
0000001512202029;600;509;19;3;0;7;1;0;7;4;0;4;2;0;4;4;99;000395-2021-01-18(104209-10639679)-99-29
0000001512202070;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;4;105;000395-2021-01-18(104209-10639679)-105-70
0000001512202019;1203;253;19;4;0;3;2;0;3;3;0;7;1;0;7;4;99;000395-2021-01-18(104209-10639679)-99-19
0000001512202072;1203;253;19;4;0;3;2;0;3;3;0;7;1;0;7;4;105;000395-2021-01-18(104209-10639679)-105-72
